,Age_08_04,KM,HP,Automatic,Doors,Quarterly_Tax,Mfr_Guarantee,Guarantee_Period,Airco,Automatic_airco,CD_Player,Powered_Windows,Sport_Model,Tow_Bar,Fuel_Type_Diesel,Fuel_Type_Petrol
80,25,20019,110,1,5,100,0,3,1,1,1,1,0,0,0,1
422,53,90097,69,0,5,185,1,3,0,0,0,0,0,1,1,0
1123,76,110901,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1384,77,52900,110,0,4,19,0,3,0,0,0,0,0,0,0,1
292,35,43000,110,0,3,69,0,3,0,0,1,0,1,0,0,1
108,20,7187,110,0,3,85,1,3,1,0,1,1,1,0,0,1
111,4,1500,116,0,5,283,1,3,1,1,1,1,1,0,1,0
982,65,45000,110,0,5,85,0,3,1,0,0,1,0,0,0,1
589,55,27500,97,0,3,69,1,3,0,0,0,0,0,0,0,1
693,65,97173,86,0,3,69,1,3,0,0,0,0,1,0,0,1
899,62,59295,86,0,5,69,1,3,0,0,0,0,1,0,0,1
140,20,22588,97,0,5,85,1,3,1,0,1,1,1,0,0,1
535,50,47219,110,0,5,85,1,3,1,0,1,1,0,0,0,1
711,64,91333,110,0,3,69,0,3,1,0,0,0,1,0,0,1
1281,75,73460,110,0,5,85,0,3,0,0,1,0,0,1,0,1
190,40,161000,69,0,3,185,0,3,0,0,1,0,0,0,1,0
1322,79,66855,110,0,5,85,0,3,1,0,0,1,0,1,0,1
830,63,68453,110,0,5,85,1,3,0,0,0,0,1,1,0,1
446,55,74715,110,0,5,85,1,3,1,0,1,1,0,0,0,1
661,65,111769,110,0,3,85,1,3,1,0,0,1,1,0,0,1
1196,79,89739,86,0,5,69,1,3,0,0,0,0,0,0,0,1
1256,76,76268,86,0,3,69,1,3,0,0,0,0,0,0,0,1
1118,73,112963,72,0,5,185,1,3,0,0,0,0,0,1,1,0
194,41,123425,69,0,5,185,0,3,1,0,1,1,0,0,1,0
798,64,74193,110,0,3,69,1,12,0,0,0,0,0,1,0,1
1369,80,57787,86,0,3,69,1,3,0,0,0,0,1,0,0,1
612,59,154783,72,0,3,185,0,3,1,0,1,1,0,0,1,0
104,11,14635,110,1,3,100,1,3,1,0,0,1,1,0,0,1
19,30,64359,110,0,3,85,1,3,1,0,1,1,1,0,0,1
442,46,75249,110,0,4,69,1,3,1,0,1,1,0,0,0,1
1043,66,15110,86,0,5,69,0,3,0,0,0,0,1,0,0,1
1048,74,203254,72,0,3,64,0,3,1,0,0,0,0,0,1,0
101,19,19200,97,0,3,85,0,3,1,0,0,1,1,0,0,1
855,62,64966,86,0,3,69,0,3,1,0,0,0,0,0,0,1
789,62,75000,110,0,5,85,0,3,0,0,0,0,0,1,0,1
304,44,39516,97,0,5,85,1,3,0,0,1,0,0,1,0,1
1320,69,67092,72,0,3,185,0,3,1,0,0,1,1,0,1,0
3,26,48000,90,0,3,210,1,3,0,0,0,0,0,0,1,0
935,57,55000,110,0,5,85,0,3,1,0,0,1,0,0,0,1
859,65,64772,110,0,3,69,0,3,0,0,0,0,0,0,0,1
408,50,102030,97,0,5,85,1,3,1,0,0,1,0,0,0,1
926,62,56209,107,1,3,85,1,3,0,0,0,1,1,0,0,1
1253,77,77000,86,0,3,19,0,3,0,0,0,0,0,0,0,1
858,62,64797,110,0,5,85,0,3,1,0,0,1,0,1,0,1
1163,78,97534,110,0,5,85,0,3,0,0,0,0,0,1,0,1
1070,76,154900,72,0,5,185,0,3,1,0,0,1,0,1,1,0
1100,74,124057,110,0,3,69,1,3,0,0,0,0,1,0,0,1
259,33,51945,110,0,5,85,0,3,1,0,1,1,0,0,0,1
675,58,103458,86,0,3,69,1,3,1,0,0,1,1,0,0,1
1143,75,102005,107,1,5,85,0,3,0,0,1,1,0,0,0,1
867,66,63328,86,1,5,85,0,3,0,0,0,0,0,0,0,1
255,42,53350,110,0,5,85,1,12,0,0,0,0,0,0,0,1
573,48,35142,110,0,3,85,0,3,1,0,0,1,0,0,0,1
1157,69,99374,86,0,5,69,0,3,0,0,0,0,0,1,0,1
1240,80,82021,86,0,5,69,1,3,0,0,0,0,0,0,0,1
528,56,48731,110,0,3,85,1,3,0,0,0,1,0,0,0,1
890,60,61100,86,0,3,69,0,3,0,0,0,0,1,0,0,1
631,67,127000,72,0,5,185,1,3,0,0,0,0,1,1,1,0
330,41,33000,110,1,5,19,0,3,1,0,0,1,0,0,0,1
60,22,37400,97,0,5,85,0,3,1,0,1,1,1,0,0,1
529,54,48370,110,0,5,85,0,3,1,0,1,1,0,1,0,1
1183,80,92096,86,0,5,69,0,3,1,0,0,0,0,1,0,1
938,67,54847,110,0,3,69,1,3,1,0,0,1,0,0,0,1
258,44,52000,97,0,3,69,0,3,0,0,0,0,0,0,0,1
819,60,70453,72,0,5,185,0,3,0,0,0,0,0,0,1,0
972,66,47237,110,0,3,69,0,12,0,0,0,1,0,0,0,1
763,67,79762,86,0,3,69,0,3,0,0,0,1,0,0,0,1
521,51,50000,86,0,5,69,1,12,1,0,0,1,0,0,0,1
325,41,34000,110,0,5,85,0,3,1,0,1,0,0,1,0,1
904,61,59000,110,0,5,85,1,3,1,0,0,0,1,0,0,1
980,57,45000,110,0,5,69,0,6,1,0,0,1,0,1,0,1
464,49,68565,110,0,4,69,0,3,0,0,1,1,0,0,0,1
1391,70,51874,86,0,4,69,0,3,0,0,0,0,0,0,0,1
757,68,80121,110,0,5,85,1,3,1,0,0,1,1,1,0,1
537,54,46856,97,0,5,85,0,3,0,0,1,0,0,0,0,1
1130,73,107108,110,0,3,69,0,3,0,0,0,1,1,1,0,1
1027,57,31307,110,0,5,85,1,3,0,0,0,0,1,0,0,1
270,33,48928,69,0,3,185,1,3,1,0,0,0,0,0,1,0
1009,59,36954,110,0,3,69,1,3,0,0,0,1,1,1,0,1
761,65,80000,86,0,2,19,0,3,0,0,0,0,0,0,0,1
861,65,64630,110,0,5,85,0,6,1,0,0,0,0,0,0,1
833,65,68000,110,0,5,85,0,6,1,0,0,1,0,0,0,1
1172,78,95651,110,0,5,85,0,3,0,0,0,0,0,1,0,1
248,43,55539,110,0,5,85,1,3,1,0,0,0,1,0,0,1
1350,76,60833,110,0,4,69,0,3,0,0,0,0,0,0,0,1
1057,78,176000,86,0,5,69,0,3,0,0,0,1,0,0,0,1
966,62,49258,110,0,4,69,0,3,1,0,0,1,0,1,0,1
283,40,45600,110,1,5,85,0,3,1,0,0,1,0,1,0,1
654,65,114383,90,0,3,64,0,3,0,0,0,0,0,0,1,0
718,63,89000,110,0,5,85,0,6,1,0,0,0,0,1,0,1
736,68,84482,110,0,5,85,0,3,1,0,0,1,0,1,0,1
1133,71,106150,86,0,3,19,0,3,0,0,0,0,0,0,0,1
177,7,6250,110,0,5,85,0,3,1,0,1,1,0,0,0,1
49,31,64982,192,0,5,100,1,3,1,1,0,1,1,0,0,1
893,65,60724,86,0,3,69,1,3,0,0,0,0,0,0,0,1
498,56,58142,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1063,78,159968,72,0,3,185,0,3,0,0,0,0,1,0,1,0
88,19,51884,97,0,3,85,1,3,1,0,1,1,1,0,0,1
1117,77,114258,86,0,5,69,0,3,0,0,0,0,1,1,0,1
493,51,58761,97,0,5,85,0,12,0,0,0,1,0,1,0,1
481,55,63000,110,0,4,69,0,3,1,0,0,1,0,0,0,1
167,14,5278,110,1,4,85,1,3,1,1,1,1,1,0,0,1
158,17,11999,110,0,5,85,0,3,1,1,1,1,1,0,0,1
697,67,95750,110,0,5,85,0,6,1,0,0,0,0,0,0,1
730,65,85889,110,0,3,85,0,12,1,0,0,1,0,1,0,1
812,65,71317,110,0,3,69,0,3,0,0,0,0,1,0,0,1
302,43,39650,110,0,3,85,0,3,0,0,0,1,0,0,0,1
703,65,93428,110,0,5,85,0,3,1,0,0,1,0,1,0,1
516,55,52141,110,0,5,85,1,3,1,0,0,0,0,1,0,1
698,61,95147,110,0,3,85,0,6,1,0,0,1,0,1,0,1
311,44,38461,110,0,5,85,1,3,1,0,1,1,0,1,0,1
1186,78,91399,110,0,5,85,1,3,0,0,1,1,1,1,0,1
799,65,74179,110,0,3,69,0,3,0,0,0,0,0,0,0,1
902,63,59000,86,0,5,19,1,12,1,0,0,1,0,0,0,1
845,61,66000,110,0,3,69,0,3,1,0,0,0,1,0,0,1
1242,79,81988,110,0,5,85,1,3,0,0,0,0,0,1,0,1
912,66,58113,107,1,3,85,1,3,1,0,0,1,0,0,0,1
494,54,58745,110,0,4,69,1,3,1,0,1,1,0,0,0,1
94,20,31850,110,0,3,85,0,20,1,0,0,1,0,0,0,1
742,58,82254,110,0,5,69,0,12,0,0,0,1,0,1,0,1
766,61,79000,110,0,3,69,1,3,1,0,0,1,0,1,0,1
660,62,112000,72,0,4,64,0,3,0,0,0,0,0,0,1,0
1113,73,115877,110,0,4,69,0,3,1,0,0,0,0,1,0,1
1177,79,93090,86,0,5,69,0,3,0,0,0,1,1,1,0,1
169,9,1,98,0,4,19,0,36,1,0,1,1,0,0,0,1
1251,71,78260,110,0,3,69,0,12,0,0,0,0,0,1,0,1
1062,80,160000,86,0,3,69,0,3,0,0,0,0,1,0,0,1
65,26,32181,110,0,5,19,0,12,1,1,1,1,0,0,0,1
945,62,53285,110,0,5,85,1,3,1,0,0,1,0,0,0,1
876,66,62135,86,0,5,69,1,3,0,0,0,0,0,1,0,1
1286,79,72328,110,0,5,85,0,3,0,0,0,1,0,1,0,1
559,50,39706,110,0,5,85,0,3,1,0,1,1,0,0,0,1
1413,74,42317,107,1,5,85,1,3,1,0,0,0,0,1,0,1
236,44,60500,110,0,5,85,1,12,0,0,0,0,0,0,0,1
1092,71,127159,72,0,3,185,0,3,0,0,0,0,0,1,1,0
1185,70,91900,86,0,3,69,0,3,0,0,0,1,1,0,0,1
1129,71,107516,110,0,3,69,1,3,0,0,0,0,1,0,0,1
383,55,150000,110,0,3,72,0,6,1,0,0,1,0,0,0,0
426,49,86221,110,0,3,69,1,3,1,0,0,1,0,0,0,1
970,63,47612,86,0,3,69,0,3,0,0,0,0,1,0,0,1
1128,78,109263,110,0,5,85,0,3,0,0,0,0,0,1,0,1
372,40,17051,97,0,5,85,1,3,0,0,0,0,0,0,0,1
1354,79,60142,110,0,3,69,1,12,0,0,0,1,0,0,0,1
159,16,11754,110,1,5,100,0,3,1,1,1,1,1,0,0,1
708,61,92498,110,0,3,69,1,3,1,0,0,1,1,0,0,1
443,54,75231,110,0,5,85,1,3,1,0,0,1,0,0,0,1
115,8,6000,90,0,5,234,1,3,1,1,0,1,1,0,1,0
401,54,115046,69,0,5,185,0,3,1,0,1,0,0,0,1,0
815,63,70908,86,0,5,69,1,3,0,0,0,1,0,1,0,1
460,55,69813,97,0,3,69,0,3,0,0,0,0,0,1,0,1
1194,78,89953,110,0,5,19,0,3,0,0,0,0,0,0,0,1
1316,75,67451,86,0,4,69,0,3,0,0,1,0,0,0,0,1
341,44,29716,110,1,3,85,1,3,1,0,0,0,0,0,0,1
75,23,28000,110,0,5,85,1,3,1,0,1,1,1,0,0,1
1327,78,65500,86,0,3,69,1,3,0,0,0,0,0,0,0,1
1047,79,207114,110,0,5,197,0,3,1,0,0,0,0,0,0,0
1380,79,55425,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1082,76,134889,72,0,3,185,1,3,0,0,0,1,0,0,1,0
403,49,107859,97,0,5,85,1,3,0,0,0,0,0,0,0,1
817,67,70552,110,0,5,85,0,3,1,0,0,1,0,0,0,1
664,62,109547,110,0,5,85,1,3,1,0,1,1,0,0,0,1
87,20,66966,90,0,3,210,0,3,1,0,1,1,1,0,1,0
556,47,40361,110,0,5,85,0,3,1,0,0,1,1,0,0,1
671,62,105000,86,0,5,69,0,3,1,0,0,1,1,0,0,1
268,40,48952,90,0,5,210,0,3,1,0,1,1,0,1,1,0
816,58,70560,110,0,3,69,0,3,0,0,0,1,1,0,0,1
1188,71,90370,86,0,5,69,1,3,0,0,0,0,1,0,0,1
720,63,88685,110,0,5,85,1,3,0,0,0,0,1,0,0,1
821,64,70116,110,0,4,69,1,3,0,0,0,0,0,1,0,1
1115,71,115157,110,0,3,69,0,3,0,0,0,1,0,0,0,1
1272,69,74573,110,0,5,85,1,3,0,0,0,0,1,0,0,1
1093,72,126478,110,0,4,69,0,3,1,0,0,0,0,0,0,1
1197,76,89520,110,0,3,69,1,3,0,0,0,0,0,0,0,1
993,57,43000,110,0,5,85,0,6,1,0,0,0,0,1,0,1
181,7,450,97,0,5,85,0,3,1,0,1,1,1,0,0,1
1219,73,85200,110,0,3,69,1,3,0,0,0,0,0,0,0,1
301,41,39659,110,0,3,69,1,3,1,0,0,1,0,0,0,1
916,68,57565,86,0,5,69,0,3,0,0,0,0,1,1,0,1
598,48,15000,97,0,3,69,1,3,0,0,0,0,0,0,0,1
1213,80,86109,110,0,3,85,0,3,1,0,0,1,0,1,0,1
1127,75,109540,110,0,5,85,1,3,1,0,0,1,1,0,0,1
120,13,57037,110,0,5,85,0,3,1,0,0,1,1,0,0,1
1407,69,44826,110,0,5,85,0,3,1,0,0,1,0,1,0,1
1340,77,62595,110,0,3,69,1,3,0,0,0,0,1,0,0,1
201,40,96518,97,0,3,69,0,12,1,0,0,0,0,1,0,1
983,66,45000,86,0,5,69,0,3,0,0,0,0,1,0,0,1
51,30,57086,97,0,5,85,0,3,1,0,1,1,0,0,0,1
186,43,243000,69,0,3,185,0,3,1,0,0,1,0,0,1,0
644,64,118000,72,0,5,185,0,3,1,0,0,0,1,1,1,0
368,37,21500,110,0,5,69,1,12,0,0,0,0,0,1,0,1
231,33,62000,110,0,5,19,1,12,1,0,0,1,0,0,0,1
584,55,30461,86,0,5,69,1,3,0,0,0,0,0,1,0,1
348,43,27301,110,0,3,69,1,3,0,0,1,0,0,1,0,1
382,45,174000,69,0,5,185,0,6,1,0,0,0,0,0,1,0
1422,78,36000,110,0,3,69,1,3,0,0,0,1,0,0,0,1
386,53,143513,69,0,5,185,0,3,0,0,0,0,0,0,1,0
267,34,49291,110,0,3,69,1,3,1,0,0,0,0,0,0,1
414,49,97600,110,0,3,69,0,6,1,0,0,1,0,1,0,1
133,13,29371,110,0,4,19,0,24,1,0,1,1,0,0,0,1
484,54,62519,97,0,3,69,0,3,0,0,1,0,0,0,0,1
198,42,105699,97,0,3,69,0,3,0,0,0,0,0,0,0,1
527,54,49366,97,0,3,69,0,3,0,0,1,0,0,0,0,1
280,35,46304,97,0,5,85,1,3,1,0,0,1,0,0,0,1
1231,76,83405,110,0,5,85,0,3,0,0,0,0,1,1,0,1
81,29,20000,110,0,5,85,1,3,1,0,1,1,1,0,0,1
495,52,58596,110,0,3,69,0,3,1,0,0,1,0,0,0,1
919,62,57179,110,0,5,85,0,3,1,0,0,1,0,0,0,1
1271,80,74785,110,0,5,85,0,3,0,0,0,0,1,1,0,1
142,13,21428,110,0,5,85,1,3,1,1,1,1,1,0,0,1
1203,75,88000,110,0,3,69,0,3,0,0,0,1,1,1,0,1
575,51,34882,110,0,5,85,1,3,0,0,1,0,0,0,0,1
682,57,101791,72,0,3,185,0,3,0,0,0,0,1,0,1,0
1355,69,60050,110,0,3,69,0,3,0,0,0,0,0,1,0,1
692,61,97425,110,0,5,85,0,3,1,0,0,1,0,1,0,1
56,28,43210,97,0,5,85,0,3,1,0,0,1,1,0,0,1
298,35,41000,110,0,5,85,1,3,1,0,1,1,0,0,0,1
1037,58,25000,110,0,5,85,0,6,0,0,0,0,0,0,0,1
643,57,118833,110,0,3,85,1,3,1,0,0,1,1,0,0,1
1017,68,35000,110,0,3,69,1,3,0,0,1,0,1,0,0,1
1315,70,68000,86,1,3,69,1,3,0,0,0,0,0,0,0,1
616,62,147636,72,0,5,185,0,3,1,0,0,0,0,0,1,0
223,44,71793,110,0,4,197,1,3,1,0,1,1,0,1,0,0
1215,80,86000,110,0,3,19,0,3,1,1,0,1,0,0,0,1
768,59,78750,90,0,5,210,0,6,1,0,0,1,0,1,1,0
119,17,57313,110,0,5,234,1,3,1,1,1,1,0,0,1,0
336,33,31000,110,0,5,19,0,6,1,0,0,1,0,0,0,1
1390,73,52000,110,1,4,85,1,3,0,0,0,1,0,1,0,1
650,60,115191,110,0,4,197,1,3,0,0,0,0,0,0,0,0
1415,72,42000,110,0,3,69,0,3,0,0,0,0,1,0,0,1
639,66,120000,72,0,4,185,0,3,0,0,0,0,0,0,1,0
1423,80,35821,86,1,3,19,0,3,0,0,0,0,0,0,0,1
534,53,47451,110,0,3,85,0,3,1,0,1,1,1,1,0,1
538,56,46500,86,0,5,69,1,12,0,0,0,0,0,0,0,1
571,52,35823,110,0,5,85,1,3,0,0,0,0,0,0,0,1
1156,79,99397,86,0,5,69,0,3,0,0,0,0,1,1,0,1
12,25,32189,192,0,3,100,1,3,1,1,0,1,1,0,0,1
335,35,32000,110,0,3,69,0,3,0,0,0,0,0,0,0,1
73,23,28227,97,0,5,85,0,3,0,0,1,0,1,0,0,1
895,61,60532,110,0,3,69,1,3,0,0,0,1,1,1,0,1
409,54,101352,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1058,77,172980,72,0,5,64,0,3,0,0,0,0,0,0,1,0
1343,77,61906,86,1,5,85,0,3,0,0,0,1,1,0,0,1
984,63,45000,110,0,4,69,1,12,0,0,0,0,0,0,0,1
163,14,6500,110,0,4,85,0,28,1,0,0,1,0,0,0,1
47,22,75048,97,0,5,85,0,3,1,0,1,1,1,1,0,1
561,54,39000,97,0,3,69,0,3,0,0,1,0,0,0,0,1
98,11,24500,110,0,3,85,0,3,1,1,0,1,1,0,0,1
776,63,77457,110,0,3,85,1,3,1,0,1,1,0,0,0,1
1275,80,74151,110,0,3,69,0,3,0,0,0,0,1,1,0,1
1386,69,52320,110,0,5,85,1,3,0,0,0,1,0,1,0,1
872,67,62316,110,0,3,69,1,3,0,0,0,1,0,1,0,1
1379,74,56132,110,0,4,69,0,3,0,0,0,0,0,0,0,1
131,20,29797,97,0,5,85,1,3,1,0,1,1,1,0,0,1
1243,76,81930,110,0,5,85,1,3,0,0,0,0,1,1,0,1
1069,69,155000,72,0,3,185,0,3,0,0,0,0,1,0,1,0
1359,80,59326,110,0,5,85,1,3,0,0,0,0,0,0,0,1
215,33,77321,110,0,5,85,0,3,1,0,0,1,0,0,0,1
135,19,27821,97,0,5,85,1,3,1,0,0,1,1,0,0,1
800,67,73936,86,0,5,69,0,3,0,0,0,1,1,0,0,1
994,64,43000,86,0,3,69,0,3,0,0,0,0,0,0,0,1
607,62,183500,72,0,5,185,0,3,1,0,0,1,0,0,1,0
1318,78,67255,110,0,5,85,0,3,0,0,0,0,0,0,0,1
927,67,56074,86,0,4,69,1,3,0,0,0,0,0,0,0,1
1036,62,25505,86,0,5,69,1,3,0,0,0,1,1,1,0,1
487,54,61000,69,0,5,185,0,6,0,0,0,0,0,1,1,0
525,52,49432,110,0,3,69,1,3,1,0,0,1,0,1,0,1
480,48,63000,69,0,5,185,0,6,1,0,0,1,0,1,1,0
195,37,118217,110,0,5,85,0,3,1,0,1,1,0,0,0,1
309,42,38665,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1004,61,38019,110,0,5,85,1,3,1,0,0,0,1,1,0,1
670,59,105000,86,0,3,19,0,3,0,0,0,1,0,0,0,1
1393,69,49640,110,0,4,69,0,3,0,0,1,0,0,1,0,1
1152,80,100458,110,0,5,85,0,3,1,0,0,0,0,0,0,1
547,55,44537,97,0,3,69,0,3,0,0,0,0,0,1,0,1
512,51,53268,110,0,5,85,1,3,1,0,1,1,0,0,0,1
918,65,57374,110,0,5,85,0,3,1,0,0,1,0,0,0,1
390,55,137000,72,0,5,185,0,3,1,0,0,0,1,0,1,0
496,54,58530,110,0,5,85,0,3,1,0,0,1,0,0,0,1
58,23,39704,110,1,5,100,1,3,1,1,1,1,1,0,0,1
1104,80,122820,86,0,5,69,0,3,1,0,0,1,0,0,0,1
808,63,72522,110,0,3,69,0,3,0,0,0,1,0,1,0,1
239,40,58954,110,0,5,85,0,12,1,0,0,1,0,0,0,1
653,64,114846,110,0,5,85,1,3,1,0,0,1,0,0,0,1
801,61,73894,110,0,3,85,1,3,1,0,0,1,1,1,0,1
701,66,94606,110,0,3,85,0,6,1,0,0,1,0,0,0,1
1228,77,84000,110,0,5,85,0,3,0,0,0,0,1,0,0,1
27,29,41415,110,0,3,85,1,3,1,1,1,1,1,0,0,1
553,50,41273,97,0,5,85,1,3,0,0,0,1,0,1,0,1
126,20,36000,110,0,5,19,0,3,1,0,0,1,0,1,0,1
777,68,77029,86,0,3,69,0,3,0,0,0,1,0,0,0,1
424,52,89000,110,0,5,85,0,3,0,0,0,0,0,0,0,1
1396,77,48838,110,0,3,85,0,3,0,0,0,1,0,0,0,1
920,61,57169,110,0,3,85,0,3,1,0,0,1,1,0,0,1
702,63,94504,86,0,4,69,1,3,0,0,0,0,0,0,0,1
1051,80,194765,72,0,3,185,0,3,1,0,0,1,0,1,1,0
1287,78,72222,110,0,5,85,0,3,1,0,0,1,0,0,0,1
90,20,48110,97,0,3,85,1,3,1,0,1,1,1,0,0,1
1410,78,43622,86,0,4,69,0,3,0,0,0,0,0,0,0,1
809,64,72000,86,0,3,69,0,3,0,0,0,0,1,0,0,1
262,41,50856,110,0,4,69,0,12,1,0,0,1,0,1,0,1
746,66,81250,110,0,3,19,0,3,1,0,0,1,0,1,0,1
432,54,81905,110,0,5,19,0,6,1,0,1,1,0,0,0,1
375,38,16000,97,0,5,85,0,3,1,0,1,1,0,0,0,1
148,19,18328,110,0,5,85,1,3,1,1,0,1,1,0,0,1
1302,77,70932,110,0,3,69,1,3,0,0,0,1,1,0,0,1
1012,66,36658,110,0,3,69,0,3,1,0,0,1,1,1,0,1
78,29,22575,110,0,5,85,1,3,1,0,1,1,0,0,0,1
632,67,126800,72,0,5,185,0,3,1,0,0,0,0,1,1,0
1073,75,150000,72,0,3,64,0,3,0,0,0,0,0,0,1,0
35,26,43000,97,0,3,85,1,3,1,0,1,1,1,0,0,1
705,68,93296,110,0,5,85,1,3,1,0,1,1,0,0,0,1
622,59,137050,110,0,3,197,0,3,0,0,1,0,1,1,0,0
765,60,79150,110,0,5,85,1,3,1,0,0,1,0,1,0,1
1372,76,57263,110,0,3,69,0,3,0,0,0,0,0,1,0,1
6,27,94612,90,0,3,210,0,3,1,0,0,1,1,0,1,0
1053,76,183277,72,0,3,185,0,3,0,0,0,0,0,0,1,0
1397,71,48576,86,0,3,69,1,3,0,0,0,0,0,0,0,1
1024,59,32150,110,0,5,85,0,3,1,0,1,1,1,1,0,1
613,64,154462,72,0,5,185,0,3,1,0,0,0,0,0,1,0
303,39,39524,97,0,3,69,1,3,1,0,1,0,0,0,0,1
1246,78,80000,110,0,4,19,0,3,1,0,0,0,0,1,0,1
216,33,75699,69,0,3,185,1,3,1,0,0,1,0,0,1,0
839,65,67003,110,0,4,69,1,3,1,0,0,0,0,0,0,1
350,39,27170,97,0,5,85,1,3,0,0,0,0,0,0,0,1
1332,77,64280,110,0,4,69,1,3,0,0,0,0,0,0,0,1
685,61,100748,110,0,5,85,0,3,0,0,0,1,1,1,0,1
202,42,92204,110,0,5,85,1,3,1,0,0,1,0,0,0,1
1008,62,37000,86,0,3,69,0,3,0,0,0,0,0,1,0,1
767,57,78955,86,0,5,69,1,3,1,0,0,1,1,0,0,1
310,40,38653,110,0,5,85,1,3,1,0,1,1,0,0,0,1
891,68,61100,110,0,5,85,0,3,1,0,0,1,0,1,0,1
962,61,50173,110,0,5,85,0,3,1,0,0,1,0,0,0,1
8,27,19700,192,0,3,100,0,3,1,0,0,1,0,0,0,1
241,38,58363,110,0,3,85,0,3,1,0,1,1,1,0,0,1
1245,77,80486,110,0,5,85,0,3,0,0,0,0,0,1,0,1
852,64,65000,110,0,3,69,1,3,0,0,0,0,1,1,0,1
1132,74,106250,110,0,5,85,0,3,0,0,0,0,0,0,0,1
793,63,74747,110,0,5,85,0,3,1,0,0,1,0,0,0,1
755,62,80265,86,0,3,69,1,3,0,0,0,0,0,1,0,1
897,66,60000,86,0,3,69,1,3,0,0,0,0,1,0,0,1
1184,72,91921,86,0,3,69,0,6,0,0,0,1,0,0,0,1
841,68,66550,86,0,3,69,0,3,0,0,0,0,0,1,0,1
275,41,47350,110,0,5,85,1,3,0,0,0,0,0,1,0,1
1094,77,126000,110,0,5,69,0,6,0,0,0,0,0,0,0,1
581,52,31579,97,0,3,69,0,3,1,0,1,0,0,1,0,1
1020,58,34000,110,0,5,85,0,3,1,0,0,1,0,0,0,1
439,49,77648,110,0,4,69,1,3,0,0,1,0,0,0,0,1
707,67,92922,72,0,4,185,0,3,1,0,0,0,0,0,1,0
1209,78,87000,110,0,4,69,0,3,1,0,0,0,0,1,0,1
62,31,36544,110,0,5,85,1,3,1,1,0,1,1,1,0,1
399,54,115558,110,0,4,69,1,3,1,0,0,1,0,1,0,1
1122,80,111392,110,0,3,197,0,3,0,0,0,1,0,0,0,0
315,41,37533,110,0,5,85,0,3,1,0,0,1,0,0,0,1
894,59,60708,86,0,5,69,0,3,1,0,0,1,1,0,0,1
1261,77,75799,110,0,3,19,0,3,0,0,0,0,0,0,0,1
625,64,133769,72,0,3,185,0,3,1,0,0,1,0,1,1,0
1105,77,122290,110,0,3,69,0,3,0,0,0,0,1,1,0,1
659,66,112000,110,0,3,85,1,3,1,0,0,1,1,0,0,1
418,55,94401,72,0,3,185,0,3,0,0,0,0,1,0,1,0
1395,76,49170,86,0,3,69,1,3,0,0,0,0,0,0,0,1
541,54,46230,110,0,3,85,1,3,1,0,1,1,0,0,0,1
